OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO,
1,4.885135088,52.35997087,"Museumstraat 1, 1071 XX Amsterdam, Nederland",Rijksmuseum,1,1,0,"A national museum that features a collection of art and artifacts that tell the history of the Netherlands, including works by Rembrandt, Vermeer, and other Dutch masters.",indoor,https://upload.wikimedia.org/wikipedia/commons/1/1b/Rijksmuseum_in_Amsterdam.jpg,
4,4.881409672,52.3579139,"Museumplein 6, 1071 DJ Amsterdam,Nederland",Van Gogh Museum,1,1,1,"A museum dedicated to the works of Vincent van Gogh, with the largest collection of Van Gogh's paintings and drawings in the world.",indoor,https://blogs-images.forbes.com/ceciliarodriguez/files/2019/03/5571.jpg,
5,4.851277126,52.39404145,"Elementenstraat 25, 1014 AR Amsterdam, Nederland",AMAZE Amsterdam,1,1,1,"An interactive art exhibit that features illusions, games, and puzzles that challenge visitors to think outside the box.",indoor,https://www.wander-lust.nl/wp-content/uploads/2021/09/AMAZE-Amsterdam-scaled-e1631015899827.jpg,
7,4.904390172,52.39129785,"Asterweg 22, 1031 HP Amsterdam, Nederland",Nxt Museum,1,1,1,"A contemporary art museum that focuses on the intersection of art, technology, and design.",indoor,https://nxtmuseum.com/content/uploads/2021/02/Venue_Hire_Image_1-scaled.jpg,
8,4.901224363,52.36939099,"Jodenbreestraat 4, 1011 NK Amsterdam, Nederland",Rembrandt House Museum,1,1,0,"The former home and studio of Rembrandt van Rijn, where he lived and worked for over 20 years",indoor,https://upload.wikimedia.org/wikipedia/commons/4/45/Rembrandshuis.jpg,
9,4.893495457,52.37246618,"Dam 21, 1012 JS Amsterdam, Nederland",Ripley's Believe It or Not!,1,1,1,"An interactive museum that features a collection of oddities, curiosities, and other unique items from around the world.",indoor,https://www.ripleys.com/wp-content/uploads/2014/04/GAT-BION-Facade.jpg,
10,4.922375607,52.36261185,"Linnaeusstraat 2, 1092 CK Amsterdam, Nederland",Tropenmuseum,1,1,0,"A museum that explores the culture, history, and art of the non-Western world, with a focus on the Netherlands' colonial past and present-day global connections.",indoor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tropenmuseum.jpg/1200px-Tropenmuseum.jpg,
11,4.883746785,52.37491274,"Westermarkt 20, 1016 GV Amsterdam, Nederland",Anne Frank House Museum,1,1,1,"A museum dedicated to the Jewish girl Anne Frank, who hid from the Nazis during World War II in a secret annex of this building.",indoor,https://annefrank.freetls.fastly.net/media/filer_public_thumbnails/filer_public/55/fa/55fa0123-0597-4803-bf21-a7a45ff00ea7/draaikast_ctoala20180613_185.jpg__2160x926_q85_crop_subject_location-2828%2C1814_subsampling-2_upscale.jpg,
12,4.879755561,52.35803851,"Museumplein 10, 1071 DJ Amsterdam, Nederland",Stedelijk Museum,1,1,0,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock, and Salvador Dalí.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg,
17,4.87370704,52.3904593,"Oostzaanstraat 45, 1013 WG Amsterdam, Nederland",Museum Het Schip,1,1,0,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://upload.wikimedia.org/wikipedia/commons/e/ec/Amsterdam_Het_Schip_006.JPG,
18,4.90230056,52.38375746,"IJpromenade 1, 1031 KT Amsterdam, Nederland",Eye Film Museum,1,1,0,"A museum that explores the history of Dutch cinema, with a collection of film-related artifacts, interactive exhibits, and an IMAX theater.",indoor,https://www.eyefilm.nl/uploads/images/blocks/_1200x630_crop_center-center_none/Eye-Filmmuseum-foto-Denis-Guzzo.jpg,
19,4.919909709,52.38543523,"Meeuwenlaan 88, 1021 JK Amsterdam, Nederland",WONDR Experience,1,1,0,"A family-friendly, interactive museum that features hands-on exhibits, games, and puzzles that encourage visitors to explore the world around",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ed/90/09/wondr-experience.jpg?w=1200&h=-1&s=1,
20,4.914723808,52.37176382,"Kattenburgerplein 1, 1018 KK Amsterdam, Nederland",The National Maritime Museum,1,1,0,"A museum that tells the story of the Netherlands and its relationship with the sea, with a focus on naval history, shipbuilding, and marine science.",indoor,https://upload.wikimedia.org/wikipedia/commons/4/48/EH1211481_National_Maritime_Museum_10_%28cropped%29.JPG,
21,4.894791038,52.37480204,"Damrak 66, 1012 LM Amsterdam, Nederland",BODY WORLDS Amsterdam,1,1,1,"An exhibition that features real human bodies and body parts, preserved through a process called plastination, to educate visitors about anatomy, health, and disease.",indoor,https://cdn.getyourguide.com/img/tour/5ed0c4e891ebe.jpeg/146.jpg,
22,4.897241843,52.37215012,"Oudezijds Achterburgwal 130, 1012 DT Amsterdam, Nederland",Hemp Gallery,1,1,1,"A gallery that showcases the history and culture of hemp, with a collection of hemp-related artifacts, interactive exhibits, and educational programs.",indoor,https://hashmuseum.com/wp-content/uploads/Hemp-Gallery-2021-mariacavali19-1920x1280.jpg,
23,4.90278178,52.36576475,"Amstel 51, 1018 DR Amsterdam, Nederland",Hermitage Amsterdam,1,1,0,"A branch of the State Hermitage Museum in St. Petersburg, Russia, that features temporary exhibitions of art and artifacts from the Hermitage's vast collection.",indoor,https://upload.wikimedia.org/wikipedia/commons/f/fb/Hermitage_Amsterdam_-_Ingang.JPG,
24,4.903813458,52.36711915,"Nieuwe Amstelstraat 1, 1011 PL Amsterdam, Nederland",Jewish Museum,1,1,0,"A museum that explores the history and culture of Amsterdam's Jewish community, with a collection of Jewish artifacts, art, and interactive exhibits.",indoor,https://images.adsttc.com/media/images/5afa/5636/f197/cc4f/c100/0011/newsletter/05.jpg?1526355503,
25,4.890264841,52.37361122,"Nieuwezijds Voorburgwal 182I, 1012 SJ Amsterdam, Nederland",Magna Plaza,1,1,0,"A shopping center located in a former post office building, that features a mix of high-end and affordable brands, as well as a rooftop terrace with views of the city.",indoor,https://app.thefeedfactory.nl/api/assets/5ff8818bde7e8633a4aa690c/38ea9568-0a56-49e0-aaa2-c73117b5139c.jpg,
27,4.894674689,52.36652812,"Reguliersbreestraat 26-34, 1017 CN Amsterdam, Nederland",Pathe Tuschinski,1,1,0,A historic cinema that features Art Deco architecture and a mix of new and classic films.,indoor,https://upload.wikimedia.org/wikipedia/commons/e/ef/Pathe_Tuschinski.jpg,
30,4.9028,52.3517,"Stadhouderskade 78, 1072 AE Amsterdam, Netherlands",Heineken Experience,1,1,1,A brewery tour and interactive exhibition that explores the history and brewing process of the Heineken beer brand.,indoor,https://cdn.getyourguide.com/img/tour/b10d5d4a331d1abc.jpeg/97.jpg,
35,4.8788,52.3583,"Museumplein 10, 1071 DJ Amsterdam, Netherlands",Stedelijk Museum,1,1,1,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock and Salvador Dalí",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg,
36,4.9063,52.3657,"Waterlooplein 22, 1011 PG Amsterdam, Netherlands",The Stopera,1,1,1,"The Municipal Theatre & City Hall, a cultural center that houses two of Amsterdam's main performance venues, the Stadsschouwburg and the Muziektheater.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/60/Stopera.jpg,
39,4.8952,52.374,"Prinsengracht 279, 1016 GW Amsterdam, Netherlands",The Westerkerk,1,1,0,A 17th-century Dutch Reformed church that is known for its beautiful architecture and its association with famous figures like Rembrandt and Anne Frank,indoor,https://upload.wikimedia.org/wikipedia/commons/a/a0/Amsterdam_%28NL%29%2C_Westerkerk_--_2015_--_7186.jpg,
42,4.9061,52.3625,"Amstel 3, 1011 PN Amsterdam, Netherlands",The Dutch National Opera & Ballet ,1,1,1,"A national theater and opera house that features performances of traditional and contemporary works, as well as ballet and other dance performances.",indoor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgj0Yu3rsAlhrpIFhydL8-lp2fSaA5xUEp8uavmKesxocAiM0RISlhI1wrk8KML3lMcDQ&usqp=CAU,
45,4.8767,52.3651,"Keizersgracht 609, 1017 DS Amsterdam, Netherlands",The Foam Fotografiemuseum Amsterdam,1,0,1,"A photography museum that showcases contemporary and historical photography, as well as hosting temporary exhibitions.",indoor,https://d7hftxdivxxvm.cloudfront.net/?height=320&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-TrFl4qz61old9BJ0ZTMXA%2Fwide.jpg&width=767,
46,4.901,52.369,"Prinsengracht 116, 1015 EA Amsterdam, Netherlands",The Amsterdam Tulip Museum,1,1,0,"A museum that explores the history and culture of tulips, with a collection of tulip-related artifacts and interactive exhibits.",indoor,https://www.amsterdam.info/photos/content/presentation/1390577000-amsterdam-museum-tulip-e.jpg,
48,4.9409,52.3621,"Funenkade 7, 1018 AL Amsterdam, Netherlands",The Brouwerij 't IJ ,1,0,0,"A microbrewery that produces a variety of craft beers, with a tasting room and brewery tours available.",indoor,https://i0.wp.com/www.brouwerijhetij.nl/wp-content/uploads/2022/04/Molen-1-kopie-scaled.jpg?ssl=1,
49,4.8965,52.3655,"Westerstraat 106, 1015 MN Amsterdam, Netherlands",The Pianola Museum,1,1,1,"A museum that explores the history and technology of the pianola, a type of player piano, with a collection of pianolas, rolls and other related items.",indoor,https://www.pianola.nl/Pianola_Museum/Welcome_files/SalonPM.jpg,
50,4.8669,52.3865,"Spaarndammerplantsoen 140, 1013 XT Amsterdam, Netherlands",The Museum Het Schip,1,1,1,"A museum that explores the history and architecture of the Amsterdam School, a Dutch architectural style from the early 20th century.",indoor,https://www.hetschip.nl/images/headers/Het-Schip_Marcel-Westhoff_MWFF9004C_1920.jpg,
,,,,,,,,,,,
,,,,,,,,,,,
