OBJECTID,LONGITUDE,LATITUDE,ADDRESS,NAME,MORNING,NOON,NIGHT,TIPS,TYPE,PHOTO,
1,4.885135088,52.35997087,"Museumstraat 1, 1071 XX Amsterdam, Nederland",Rijksmuseum,1,1,0,"A national museum that features a collection of art and artifacts that tell the history of the Netherlands, including works by Rembrandt, Vermeer, and other Dutch masters.",indoor,https://upload.wikimedia.org/wikipedia/commons/1/1b/Rijksmuseum_in_Amsterdam.jpg,
2,4.886196218,52.37028328," Wolvenstraat 9, 1016 EM Amsterdam, Nederland",De 9 Straatjes,1,1,1,"A trendy shopping and dining area that consists of nine narrow streets in the heart of Amsterdam, known for its independent boutiques and specialty shops.",outdoor,https://app.thefeedfactory.nl/api/assets/5ff88bd6de7e8633a4aaccac/63d4dcbb-afbf-4356-bda1-14d02188acf6.jpg,
3,4.914165372,52.3542341,"Platanenweg, 1091 KS Amsterdam, Țările de Jos",Street Art Platanenweg,1,1,1,A street art destination that features a collection of murals and graffiti created by local and international street artists.,outdoor,https://live.staticflickr.com/65535/49809680463_131e4bf316_b.jpg,
4,4.881409672,52.3579139,"Museumplein 6, 1071 DJ Amsterdam,Nederland",Van Gogh Museum,1,1,1,"A museum dedicated to the works of Vincent van Gogh, with the largest collection of Van Gogh's paintings and drawings in the world.",indoor,https://blogs-images.forbes.com/ceciliarodriguez/files/2019/03/5571.jpg,
5,4.851277126,52.39404145,"Elementenstraat 25, 1014 AR Amsterdam, Nederland",AMAZE Amsterdam,1,1,1,"An interactive art exhibit that features illusions, games, and puzzles that challenge visitors to think outside the box.",indoor,https://www.wander-lust.nl/wp-content/uploads/2021/09/AMAZE-Amsterdam-scaled-e1631015899827.jpg,
6,4.888072103,52.38561728,"Prinseneiland 2, 1013 LR Amsterdam, Nederland",Quartier marecages,1,1,1,"A neighborhood in Amsterdam known for its unique architecture, old-world charm, and vibrant culture.",outdoor,https://www.district-immo.com/wp-content/uploads/2021/01/447_00-2019-07-04-1716-1.jpg,
7,4.904390172,52.39129785,"Asterweg 22, 1031 HP Amsterdam, Nederland",Nxt Museum,1,1,1,"A contemporary art museum that focuses on the intersection of art, technology, and design.",indoor,https://nxtmuseum.com/content/uploads/2021/02/Venue_Hire_Image_1-scaled.jpg,
8,4.901224363,52.36939099,"Jodenbreestraat 4, 1011 NK Amsterdam, Nederland",Rembrandt House Museum,1,1,0,"The former home and studio of Rembrandt van Rijn, where he lived and worked for over 20 years",indoor,https://upload.wikimedia.org/wikipedia/commons/4/45/Rembrandshuis.jpg,
9,4.893495457,52.37246618,"Dam 21, 1012 JS Amsterdam, Nederland",Ripley's Believe It or Not!,1,1,1,"An interactive museum that features a collection of oddities, curiosities, and other unique items from around the world.",indoor,https://www.ripleys.com/wp-content/uploads/2014/04/GAT-BION-Facade.jpg,
10,4.922375607,52.36261185,"Linnaeusstraat 2, 1092 CK Amsterdam, Nederland",Tropenmuseum,1,1,0,"A museum that explores the culture, history, and art of the non-Western world, with a focus on the Netherlands' colonial past and present-day global connections.",indoor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Tropenmuseum.jpg/1200px-Tropenmuseum.jpg,
11,4.883746785,52.37491274,"Westermarkt 20, 1016 GV Amsterdam, Nederland",Anne Frank House Museum,1,1,1,"A museum dedicated to the Jewish girl Anne Frank, who hid from the Nazis during World War II in a secret annex of this building.",indoor,https://annefrank.freetls.fastly.net/media/filer_public_thumbnails/filer_public/55/fa/55fa0123-0597-4803-bf21-a7a45ff00ea7/draaikast_ctoala20180613_185.jpg__2160x926_q85_crop_subject_location-2828%2C1814_subsampling-2_upscale.jpg,
12,4.879755561,52.35803851,"Museumplein 10, 1071 DJ Amsterdam, Nederland",Stedelijk Museum,1,1,0,"A museum of modern and contemporary art that features works by artists like Vincent van Gogh, Jackson Pollock, and Salvador Dalí.",indoor,https://upload.wikimedia.org/wikipedia/commons/6/61/De_nieuwe_vleugel_van_het_Stedelijk_Museum_Amsterdam.jpg,
